timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance,CALC_BAL,H-I
3/1/2025 9:30,AMZN,BUY,101,3181.996262,3183.367848,138.5301311,-35346.4112,10138.53013,-45484.94133
3/1/2025 9:30,NVDA,BUY,69,2542.210494,2540.32866,-129.8465654,2837.76092,10008.68357,-7170.922646
3/1/2025 9:30,NFLX,BUY,63,666.0183734,665.6542616,-22.93904541,-27347.02263,9985.74452,-37332.76715
3/1/2025 9:30,AAPL,SELL,184,1063.448069,1063.536464,16.26458068,-11291.65563,10002.0091,-21293.66473
3/1/2025 9:30,MSFT,BUY,122,2374.145072,2375.580301,175.097885,-6689.257098,10177.10699,-16866.36408
3/1/2025 9:30,TSLA,SELL,91,1028.934874,1030.313065,125.4153882,2744.617364,10302.52237,-7557.90501
3/1/2025 9:31,GOOG,BUY,108,2158.323411,2159.140294,88.2233597,-5525.30683,10390.74573,-15916.05256
3/1/2025 9:31,TSLA,BUY,190,2985.127577,2984.305761,-156.1451246,-6662.780496,10234.60061,-16897.38111
3/1/2025 9:31,GOOG,SELL,162,447.6081524,449.6078188,323.9459663,-39677.50007,10558.54658,-50236.04665
3/1/2025 9:31,AMZN,SELL,177,309.6436037,308.8860005,-134.0957697,-23873.44497,10424.45081,-34297.89578
3/1/2025 9:31,AMZN,BUY,141,1383.700864,1383.415394,-40.25123845,-22640.69293,10384.19957,-33024.89249
3/1/2025 9:31,AMZN,SELL,189,3258.682998,3255.988806,-509.2022468,-33859.75396,9874.997321,-43734.75128
3/1/2025 9:32,NVDA,SELL,39,2510.89344,2511.539084,25.18012506,-23735.58095,9900.177446,-33635.7584
3/1/2025 9:32,MSFT,BUY,148,745.3585062,745.9114989,81.84291559,-37009.57632,9982.020361,-46991.59668
3/1/2025 9:32,AMZN,SELL,173,2799.805781,2800.88853,187.3155667,-21474.23193,10169.33593,-31643.56786
3/1/2025 9:32,MSFT,SELL,105,3150.013831,3151.704724,177.5438087,-11504.25783,10346.87974,-21851.13757
