timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2025-01-01T16:35:02Z,AAPL,buy,3.1701,180.0,175.8847,-14.58,9985.42
2025-01-03T02:12:58Z,EURUSD,sell,310.6638,1.09,1.104316,-5.35,9980.07
2025-01-04T09:03:35Z,EURUSD,sell,528.971,1.104316,1.108688,-3.88,9976.19
2025-01-06T01:38:29Z,EURUSD,buy,486.1006,1.108688,1.098843,-6.23,9969.96
2025-01-07T20:48:13Z,EURUSD,buy,497.2617,1.098843,1.076203,-12.72,9957.24
2025-01-09T19:32:20Z,EURUSD,buy,294.7143,1.076203,1.087383,2.44,9959.68
2025-01-11T16:59:38Z,EURUSD,buy,260.3289,1.087383,1.097099,1.77,9961.45
2025-01-13T14:10:40Z,AAPL,sell,3.3242,175.8847,176.4338,-3.39,9958.06
2025-01-14T16:15:52Z,AAPL,buy,2.752,176.4338,175.1468,-4.84,9953.22
2025-01-16T09:05:42Z,AAPL,sell,4.4385,175.1468,172.1549,11.2,9964.42
2025-01-17T22:50:49Z,AAPL,sell,1.1969,172.1549,170.3023,1.67,9966.08
2025-01-18T12:02:44Z,AAPL,buy,1.64,170.3023,170.0788,-1.12,9964.97
2025-01-19T22:33:52Z,MSFT,buy,1.2514,410.0,412.9851,2.36,9967.33
2025-01-21T04:45:35Z,MSFT,buy,1.5144,412.9851,414.6559,0.85,9968.18
2025-01-22T19:46:16Z,MSFT,sell,0.708864,414.6559,411.2456,1.63,9969.81
2025-01-24T16:12:21Z,AAPL,buy,2.0031,170.0788,171.5012,1.94,9971.75
2025-01-26T05:54:50Z,AAPL,buy,4.4121,171.5012,173.2861,5.85,9977.59
2025-01-26T14:24:37Z,GBPUSD,sell,225.4657,1.27,1.250263,3.68,9981.28
2025-01-27T16:01:18Z,GBPUSD,sell,497.5552,1.250263,1.254755,-3.9,9977.37
2025-01-29T05:27:00Z,EURUSD,sell,419.876,1.097099,1.104152,-4.2,9973.18
2025-01-31T04:20:11Z,EURUSD,buy,507.5942,1.104152,1.096466,-5.4,9967.78
2025-02-01T22:02:36Z,EURUSD,sell,704.3342,1.096466,1.109198,-11.04,9956.74
2025-02-02T11:40:40Z,EURUSD,sell,328.9785,1.109198,1.107634,-0.46,9956.27
2025-02-04T06:36:30Z,BTC-USD,sell,0.01271,45000.0,44698.84,2.29,9958.57
2025-02-06T05:01:12Z,BTC-USD,sell,0.011079,44698.84,45001.24,-4.68,9953.89
2025-02-06T09:09:59Z,BTC-USD,buy,0.016679,45001.24,45004.84,-1.95,9951.94
2025-02-07T18:59:51Z,BTC-USD,buy,0.008409,45004.84,44926.72,-1.67,9950.27
2025-02-08T06:19:29Z,NVDA,sell,0.42175,650.0,656.0999,-3.31,9946.96
2025-02-08T14:14:02Z,MSFT,buy,1.6874,411.2456,412.4087,0.1,9947.07
2025-02-10T00:10:58Z,NVDA,sell,0.527627,656.0999,648.7241,2.96,9950.03
2025-02-11T00:41:17Z,NVDA,sell,0.726775,648.7241,651.1244,-3.01,9947.02
