Timestamp,Buy/Sell,Asset/Ticker,Amount,Price
2025-01-02 11:13:59,Sell,LULU,3,379.77
2025-01-02 11:40:55,Buy,ATZ,188,53.04
2025-01-02 11:52:51,Buy,TSLA,1,377.02
2025-01-02 12:17:11,Buy,LULU,41,377.84
2025-01-02 13:12:26,Buy,RY,55,120.18
2025-01-02 13:21:42,Buy,AAPL,25,242.44
2025-01-02 13:58:18,Buy,LULU,5,371.68
2025-01-02 14:30:44,Sell,RY,13,119.74
2025-01-02 15:55:35,Buy,UNH,6,504.68
2025-01-03 09:31:47,Sell,ATZ,174,53.99
2025-01-03 10:07:21,Buy,TSLA,8,380.7
2025-01-03 11:01:20,Sell,RY,5,119.67
2025-01-03 11:18:36,Sell,AAPL,7,243.04
2025-01-03 11:24:38,Buy,UNH,5,505.66
2025-01-03 12:37:15,Buy,NVDA,21,139.74
2025-01-03 12:41:12,Buy,TSLA,6,380.04
2025-01-03 15:39:43,Buy,PLTR,5,75.36
2025-01-06 09:58:59,Sell,RY,8,120.86
2025-01-06 11:15:33,Sell,LULU,15,381.42
2025-01-06 11:40:42,Buy,OPEN,783,1.7
2025-01-06 11:42:54,Sell,TSLA,3,418.19
2025-01-06 13:13:41,Buy,AAPL,13,244.1
2025-01-06 14:41:55,Buy,PLTR,48,78.54
2025-01-06 15:36:57,Buy,UNH,4,510.49
2025-01-07 09:36:59,Buy,PLTR,79,70.94
2025-01-07 09:52:10,Sell,RY,10,121.84
2025-01-07 09:59:39,Buy,PLTR,47,70.27
2025-01-07 10:11:45,Sell,TSLA,8,395.88
2025-01-07 10:40:19,Buy,OPEN,980,1.6
2025-01-07 11:53:22,Buy,COST,3,923.14
2025-01-07 12:01:05,Sell,OPEN,609,1.71
2025-01-07 13:03:56,Buy,UNH,2,517.92
2025-01-07 13:49:08,Sell,TSLA,2,403.69
2025-01-07 14:38:30,Sell,LULU,17,398.37
2025-01-07 15:19:24,Sell,OPEN,63,1.64
2025-01-08 10:21:41,Buy,UNH,2,512.73
2025-01-08 11:12:36,Buy,NVDA,44,138.45
2025-01-08 13:58:20,Sell,LULU,8,388.77
2025-01-08 14:21:08,Sell,TSLA,1,389.41
2025-01-08 15:32:50,Buy,NVDA,20,139.09
2025-01-08 15:52:06,Sell,LULU,3,389.24
2025-01-09 12:32:25,Buy,ATZ,20,57.78
2025-01-09 14:14:19,Buy,ATZ,42,57.78
2025-01-09 14:14:39,Buy,ATZ,128,57.57
2025-01-10 13:52:23,Buy,OPEN,1592,1.47
2025-01-14 10:04:19,Sell,UNH,1,537.01
2025-01-14 15:16:30,Sell,RY,4,118.82
2025-01-15 09:36:02,Buy,ATZ,15,65.87
2025-01-15 14:44:11,Buy,UNH,13,535.13
2025-01-16 12:09:13,Buy,COST,4,918.9
2025-01-16 15:56:16,Buy,PLTR,35,68.48
2025-01-17 09:38:56,Buy,TSLA,5,420.49
2025-01-17 13:52:00,Buy,TSLA,6,419.95
2025-01-20 10:53:33,Sell,ATZ,28,67.17
2025-01-20 14:53:57,Sell,ATZ,10,67.15
2025-01-20 15:51:42,Sell,ATZ,123,67.13
