Timestamp,Buy/Sell,Asset/Ticker,Amount,Price
2025-01-02 11:51:48,Buy,LULU,5,375.5
2025-01-06 09:59:18,Buy,COST,5,917.23
2025-01-06 10:30:17,Buy,COST,2,914.44
2025-01-06 11:27:28,Buy,PLTR,21,76.34
2025-01-06 12:40:17,Buy,LULU,17,381.42
2025-01-06 15:46:54,Buy,UNH,16,510.74
2025-01-08 10:49:41,Buy,UNH,2,511.12
2025-01-08 11:40:35,Sell,UNH,11,513.24
2025-01-08 11:48:37,Buy,LULU,11,388.89
2025-01-08 13:10:21,Buy,TSLA,9,388.79
2025-01-08 14:05:57,Buy,LULU,18,386.34
2025-01-09 10:38:02,Buy,ATZ,48,57.5
2025-01-09 10:41:56,Buy,ATZ,28,57.34
2025-01-09 12:41:12,Buy,ATZ,31,57.66
2025-01-09 12:58:13,Buy,ATZ,15,57.85
2025-01-09 13:13:49,Buy,ATZ,83,57.18
2025-01-10 09:43:13,Buy,LULU,6,390.2
2025-01-10 12:31:04,Buy,RY,18,118.99
2025-01-10 14:20:52,Buy,TSLA,12,383.94
2025-01-14 09:31:44,Buy,COST,8,916.24
2025-01-14 09:54:56,Buy,ATZ,1,63.47
2025-01-14 10:00:39,Sell,ATZ,98,63.66
2025-01-14 10:10:42,Buy,COST,11,910.69
2025-01-14 14:40:29,Buy,LULU,22,397.93
2025-01-15 15:31:54,Buy,RY,4,119.44
2025-01-16 14:49:28,Sell,PLTR,2,68.66
2025-01-16 15:35:10,Buy,OPEN,762,1.48
2025-01-17 09:46:15,Buy,NVDA,14,136.06
2025-01-17 09:50:19,Sell,TSLA,4,420.99
2025-01-17 13:19:59,Buy,OPEN,1806,1.57
2025-01-17 13:23:42,Sell,TSLA,4,420.19
2025-01-17 14:00:43,Sell,TSLA,11,421.48
2025-01-20 09:35:41,Sell,ATZ,15,67.38
2025-01-20 11:20:11,Sell,ATZ,3,67.16
2025-01-20 14:25:56,Sell,ATZ,16,67.43
2025-01-20 15:22:43,Buy,ATZ,3,67.1
2025-01-20 15:52:06,Sell,ATZ,75,67.4
2025-01-21 09:44:40,Buy,PLTR,72,71.01
2025-01-21 10:25:50,Buy,PLTR,67,73.1
2025-01-21 12:32:25,Buy,OPEN,641,1.46
2025-01-21 12:57:38,Buy,OPEN,610,1.4
2025-01-21 13:29:44,Buy,LULU,3,369.4
2025-01-22 10:13:54,Sell,TSLA,1,415.71
2025-01-22 10:56:45,Buy,PLTR,13,74.26
2025-01-22 11:03:56,Buy,NVDA,17,143.75
2025-01-22 11:32:25,Buy,PLTR,9,74.41
2025-01-24 09:45:58,Buy,ATZ,6,69.68
2025-01-24 10:53:33,Sell,PLTR,28,78.65
2025-01-24 11:56:06,Buy,UNH,1,527.72
2025-01-24 13:54:51,Buy,NVDA,4,143.26
2025-01-24 14:53:57,Buy,AAPL,7,222.44
2025-01-27 09:58:46,Buy,UNH,1,539.98
2025-01-27 14:19:07,Buy,PLTR,16,73.94
2025-01-27 15:19:54,Buy,PLTR,15,73.72
2025-01-27 15:38:45,Buy,OPEN,412,1.36
2025-01-28 09:50:21,Buy,OPEN,969,1.36
2025-01-28 10:01:30,Buy,PLTR,16,74.52
2025-01-28 11:18:55,Buy,UNH,1,541.96
2025-01-28 13:13:16,Buy,PLTR,2,74.52
2025-01-28 15:20:05,Buy,OPEN,411,1.35
2025-01-29 09:35:43,Buy,LULU,1,407.74
2025-01-29 10:51:08,Buy,OPEN,616,1.43
2025-01-29 11:40:21,Buy,RY,6,121.74
2025-01-29 12:53:02,Buy,AAPL,1,234.06
2025-01-30 09:33:12,Sell,COST,23,970.14
2025-01-30 09:39:51,Buy,COST,2,970.2
2025-01-30 11:00:28,Buy,NVDA,14,120.42
2025-01-30 11:18:38,Sell,PLTR,11,79.52
2025-01-30 14:07:14,Sell,PLTR,90,79.61
2025-01-31 10:09:35,Buy,COST,1,976.05
2025-01-31 10:27:47,Buy,AAPL,8,241.76
2025-01-31 11:36:55,Buy,LULU,4,415.87
2025-01-31 13:59:22,Sell,COST,3,976.08
2025-01-31 14:42:01,Buy,PLTR,13,80.95
2025-02-04 11:33:33,Buy,LULU,1,409.15
2025-02-04 11:33:38,Buy,COST,2,999.91
2025-02-04 13:03:44,Buy,ATZ,8,68.41
2025-02-04 15:17:13,Buy,PLTR,75,101.19
2025-02-04 15:43:12,Sell,LULU,11,408.66
2025-02-05 12:41:37,Buy,NVDA,32,121.21
2025-02-05 12:49:19,Buy,COST,1,1020.0
2025-02-05 13:30:39,Sell,AAPL,6,228.45
2025-02-05 13:41:39,Sell,NVDA,1,121.35
2025-02-05 14:38:44,Buy,NVDA,7,121.44
2025-02-06 09:39:02,Buy,ATZ,7,69.05
2025-02-06 09:40:50,Buy,PLTR,9,100.5
2025-02-06 09:54:24,Buy,LULU,3,410.69
2025-02-06 10:14:58,Buy,NVDA,39,126.72
2025-02-06 14:02:35,Buy,PLTR,33,100.62
2025-02-07 09:39:06,Buy,PLTR,21,111.36
2025-02-07 11:59:27,Buy,ATZ,15,69.88
2025-02-07 13:02:33,Buy,RY,48,118.64
2025-02-07 15:04:45,Buy,NVDA,64,129.14
2025-02-07 15:25:57,Sell,PLTR,236,111.26
2025-02-10 09:30:52,Sell,NVDA,88,130.0
2025-02-10 11:39:32,Buy,PLTR,2,111.17
2025-02-10 13:14:17,Buy,NVDA,14,130.07
2025-02-10 13:45:36,Buy,NVDA,29,129.98
2025-02-10 14:11:56,Buy,RY,3,118.61
2025-02-11 11:06:03,Buy,UNH,3,532.42
2025-02-11 13:25:36,Sell,AAPL,3,228.15
