Timestamp,Buy/Sell,Asset/Ticker,Amount,Price
2025-01-02 11:51:48,Buy,LULU,5,375.5
2025-01-06 13:21:42,Buy,AAPL,25,243.3
2025-01-07 10:14:19,Sell,RY,26,121.73
2025-01-07 11:54:48,Buy,UNH,24,515.59
2025-01-08 10:04:26,Buy,TSLA,14,392.93
2025-01-08 14:37:20,Sell,TSLA,3,389.37
2025-01-09 09:31:22,Buy,ATZ,103,57.22
2025-01-09 11:20:09,Buy,ATZ,35,56.97
2025-01-10 12:13:27,Buy,RY,7,119.65
2025-01-13 09:33:53,Buy,NVDA,43,129.63
2025-01-13 12:26:31,Buy,OPEN,260,1.35
2025-01-15 09:43:13,Buy,LULU,11,382.87
2025-01-15 12:55:16,Buy,ATZ,11,66.69
2025-01-21 11:40:42,Buy,UNH,8,513.58
2025-01-21 14:40:29,Buy,LULU,15,374.8
2025-01-22 12:58:33,Buy,ATZ,14,69.3
2025-01-22 13:03:56,Buy,NVDA,19,144.54
2025-01-24 13:57:00,Buy,PLTR,73,78.91
2025-01-28 12:06:04,Buy,PLTR,126,75.32
2025-01-28 15:28:04,Buy,PLTR,73,75.33
2025-01-30 15:21:16,Buy,LULU,1,414.0
2025-01-31 13:58:20,Buy,LULU,9,416.81
2025-01-31 15:18:22,Buy,COST,2,975.89
2025-02-05 14:21:08,Buy,NVDA,16,121.12
2025-02-05 15:22:43,Sell,COST,1,1020.0
2025-02-12 14:36:04,Buy,NVDA,1,130.01
2025-02-12 15:42:19,Buy,ATZ,11,69.93
2025-02-19 11:25:24,Buy,COST,1,1054.88
2025-02-19 12:37:00,Sell,AAPL,9,243.59
2025-02-20 09:35:25,Buy,TSLA,8,349.79
2025-02-20 12:14:40,Buy,UNH,1,503.98
2025-02-21 10:56:45,Buy,AAPL,3,245.7
2025-02-21 11:03:56,Buy,RY,8,118.84
2025-02-25 09:43:01,Sell,AAPL,6,245.44
2025-02-25 15:56:16,Sell,PLTR,156,86.16
2025-02-26 10:53:33,Sell,PLTR,14,88.12
2025-02-26 13:00:30,Buy,LULU,4,363.83
2025-02-27 09:58:15,Buy,AAPL,11,238.96
2025-02-27 15:51:42,Sell,ATZ,123,66.06
2025-03-05 14:19:07,Sell,PLTR,66,86.0
2025-03-05 15:38:45,Buy,OPEN,823,1.22
2025-03-07 10:13:23,Buy,LULU,12,339.63
2025-03-07 14:38:25,Sell,RY,14,113.57
2025-03-10 10:01:30,Buy,PLTR,32,76.96
2025-03-11 09:44:36,Buy,UNH,2,480.6
2025-03-11 14:13:59,Buy,UNH,7,480.46
2025-03-12 14:04:42,Buy,NVDA,6,113.7
2025-03-24 12:30:38,Buy,TSLA,13,257.73
2025-03-24 15:58:02,Sell,PLTR,23,93.22
2025-03-25 13:45:07,Buy,AAPL,4,220.34
2025-03-27 13:31:02,Buy,COST,2,929.14
2025-04-01 13:08:39,Sell,UNH,12,522.06
2025-04-01 15:39:15,Buy,COST,1,938.97
2025-04-03 11:36:55,Buy,LULU,4,243.56
2025-04-04 09:47:52,Buy,TSLA,2,247.57
2025-04-04 10:16:39,Sell,COST,1,920.24
2025-04-08 13:38:54,Buy,LULU,3,243.81
2025-04-08 15:43:12,Buy,LULU,25,251.02
2025-04-09 09:54:33,Buy,OPEN,4008,0.96
2025-04-09 14:12:32,Sell,AAPL,1,171.93
2025-04-15 10:16:37,Buy,NVDA,17,110.77
2025-04-15 13:29:15,Buy,TSLA,9,248.78
2025-04-16 14:10:20,Buy,RY,4,114.6
2025-04-17 12:10:27,Buy,PLTR,1,93.26
2025-04-17 12:18:32,Sell,RY,1,115.53
2025-04-21 09:34:08,Buy,PLTR,21,89.64
2025-04-22 12:45:23,Buy,UNH,1,422.47
2025-04-22 15:40:52,Buy,OPEN,1205,0.94
2025-04-24 14:17:12,Buy,OPEN,1219,0.84
2025-04-24 15:08:31,Buy,OPEN,757,0.83
2025-04-29 14:55:36,Buy,LULU,1,266.93
2025-04-29 15:20:53,Buy,TSLA,1,280.4
2025-04-30 10:11:12,Buy,UNH,1,405.37
2025-04-30 11:16:36,Buy,COST,1,983.04
2025-05-01 09:58:49,Buy,PLTR,1,119.64
2025-05-01 15:48:40,Sell,AAPL,2,208.91
2025-05-08 14:51:07,Buy,NVDA,2,116.54
2025-05-08 15:40:16,Buy,NVDA,2,116.89
2025-05-12 09:32:32,Buy,UNH,2,380.22
2025-05-14 10:12:46,Buy,ATZ,6,65.69
2025-05-14 14:12:54,Buy,AAPL,2,212.34
2025-05-21 12:44:29,Buy,NVDA,1,131.83
2025-05-22 11:21:27,Buy,OPEN,255,0.7
2025-05-23 12:51:23,Sell,COST,2,1010.65
2025-05-23 14:08:08,Sell,COST,1,1007.14
2025-05-29 11:31:10,Buy,TSLA,2,360.01
2025-06-02 11:36:06,Buy,TSLA,1,337.68
2025-06-02 12:10:56,Buy,NVDA,1,135.48
2025-06-03 11:43:40,Sell,RY,11,127.71
2025-06-03 12:36:56,Buy,OPEN,488,0.58
2025-06-05 10:55:24,Buy,NVDA,4,141.21
2025-06-05 11:57:26,Sell,ATZ,27,68.68
2025-06-11 09:41:32,Buy,UNH,7,302.57
2025-06-11 09:49:32,Sell,NVDA,48,144.45
2025-06-13 12:08:34,Sell,PLTR,21,133.44
2025-06-19 13:04:33,Buy,ATZ,5,65.75
2025-06-19 13:19:10,Sell,ATZ,19,65.24
2025-06-20 11:38:16,Buy,UNH,1,305.55
2025-06-20 15:21:20,Buy,TSLA,2,318.27
2025-06-23 12:32:30,Buy,UNH,7,298.6
