,post_trade_rate_ratio,post_turnover_delta,post_sizing_mean_ratio,post_win_rate_delta,post_pnl_vol_ratio,post_asset_switch_delta,post_burst_frac_delta,n_trades,trade_rate_per_min,median_gap_sec,mean_gap_sec,burst_frac,n_assets,top_asset_share,asset_switch_rate,sizing_sum,sizing_mean,sizing_std,turnover,pnl_sum,pnl_mean,pnl_std,win_rate,avg_gain,avg_loss_abs,payoff_ratio,pnl_skew_proxy,dd_max,window_start_balance,revenge_trader_window,pred_revenge_trader_window,
0,0.899880281,0.810523992,1.134185013,-0.571428571,0.588805978,-0.333333333,-0.142857143,5,0.001717564,41798,43292.8,0,1,1,0,4750.159375,950.0318751,428.9656742,0.474696941,-56.75,-11.35,8.975252086,0,0,11.35,0,-2.610295728,-0.005510297,10006.72,1,0.999999982,1.75318E-08
1,1.444604506,0.856240429,1.368675127,-0.5,0.504909747,-0.428571429,-0.125,5,0.002648141,866,35106.4,0,1,1,0,5213.879498,1042.7759,245.879729,0.521284214,-68.01,-13.602,7.142840471,0,0,13.602,0,-2.136080871,-0.006325741,10001.99,1,0.999999952,4.76343E-08
2,1.166220123,0.609823154,1.094552512,-0.244444444,0.702110961,-0.375,-0.111111111,5,0.001943144,866,30996,0,1,1,0,4521.717091,904.3434182,230.4318584,0.452940803,-61.55,-12.31,9.382060008,0.2,1.73,15.82,0.109355247,-1.834681182,-0.004437535,9983.02,1,0.999999934,6.62152E-08
3,1.000671332,0.458345381,0.912033858,0,0.909677457,-0.083333333,-0.1,5,0.001849192,41693,54697.2,0,2,0.8,0.25,3912.347713,782.4695427,233.517269,0.39277839,-32.29,-6.458,12.72072207,0.4,6.01,14.77,0.40690589,-1.278203724,-0.002206672,9960.7,1,0.999999926,7.42852E-08
4,1.222103299,0.339258761,0.741897721,0.236363636,0.757407345,0.2,-0.090909091,5,0.001850241,866,32543.6,0,2,0.8,0.5,3270.598116,654.1196232,169.9141898,0.32865114,1.67,0.334,11.09668104,0.6,7.886666667,10.995,0.71729574,-0.154913295,-0.001292257,9951.58,1,0.999999087,9.13454E-07
5,0.679211908,0.273839765,0.652433806,0.466666667,0.694019822,0.227272727,-0.083333333,5,0.001120314,41693,53729.6,0,2,0.8,0.5,2885.278965,577.0557929,91.05276667,0.290306897,14.14,2.828,9.75850757,0.8,6.75,12.86,0.524883359,1.220359281,0,9938.72,1,0.999998807,1.19302E-06
6,2.026597991,0.413396912,1.236746693,-0.266666667,0.948386141,-0.107142857,0,5,0.0029988,5486,35329.6,0,2,0.6,0.25,5102.712986,1020.542597,537.8649859,0.51206609,-41.53,-8.306,12.57837152,0.2,8.76,12.5725,0.696758799,-1.367689531,-0.004090337,9964.95,1,0.999999977,2.25646E-08
7,0.991345415,0.37974728,1.13408551,-0.533333333,0.540133832,-0.285714286,0,5,0.001294191,93610,65083,0,1,1,0,4774.576096,954.9152193,501.0660439,0.479428059,-73.83,-14.766,6.880881484,0,0,14.766,0,-1.990006752,-0.005926357,9958.9,1,0.999999965,3.49042E-08
8,0.623798912,0.431383831,1.286580346,-0.266666667,1.037032793,-0.285714286,0,5,0.000832159,106669,72209.2,0,1,1,0,4910.159504,982.0319008,492.9129037,0.493591511,-54.78,-10.956,10.93196826,0.2,4.24,14.755,0.287360217,-1.927617328,-0.004819146,9947.82,1,0.999999953,4.66263E-08
9,0.567675674,0.412566823,1.227296354,0,1.135879824,-0.285714286,0,5,0.000772519,106669,77749.2,0,1,1,0,4683.799063,936.7598126,543.9059988,0.471957819,-43.16,-8.632,12.07445113,0.4,2.39,15.98,0.149561952,-3.315641476,-0.00244957,9924.19,1,0.99999998,2.02912E-08
10,0.781146458,0.265559172,0.789653946,0.066666667,0.747321598,-0.214285714,0,5,0.001133993,106669,77748.8,0,1,1,0,3352.910488,670.5820976,439.9232241,0.338046125,-24.73,-4.946,8.690154199,0.4,2.39,9.836666667,0.242968485,-2.055384615,-0.001919645,9918.5,1,0.999999779,2.21193E-07
11,0.965787121,0.311520714,0.925021227,0.066666667,0.866151486,-0.214285714,0,5,0.00127467,77472,68404.8,0,1,1,0,3991.302727,798.2605453,448.1009702,0.403166778,-35.02,-7.004,10.02613984,0.4,2.39,13.26666667,0.180150754,-2.846923076,-0.001657596,9899.88,1,0.999999962,3.78048E-08
12,1.373249499,0.348183692,1.039080388,-0.066666667,0.812370867,-0.214285714,0,5,0.001482572,439,40551,0,1,1,0,4143.856379,828.7712758,443.0162335,0.418594184,-14.3,-2.86,8.872494012,0.4,5.355,8.336666667,0.642343063,-1.605221932,-0.00161524,9899.46,1,0.999999985,1.46279E-08
13,1.165807155,0.397024687,1.184452802,0.133333333,0.899827654,0.035714286,0,5,0.001259314,77472,63139.4,0,2,0.8,0.25,4477.587891,895.5175783,359.1147303,0.453038041,-1.9,-0.38,9.745006414,0.6,5.97,9.905,0.602725896,-0.955408388,0,9883.47,1,0.999999976,2.40897E-08
14,1.192453427,0.247692697,0.738230894,0.133333333,0.381949766,0.357142857,0,5,0.001227606,439,48889,0,3,0.4,0.5,3017.570952,603.5141904,342.1685452,0.305242044,8.18,1.636,4.302305196,0.6,4.096666667,2.055,1.993511759,6.64642856,0,9885.83,1,0.999999618,3.81825E-07
15,1.017666054,0.28163666,0.839172365,-0.2,0.792727385,-0.142857143,0,5,0.001138498,3048,52730.6,0,1,1,0,3617.73119,723.546238,357.1404304,0.365527821,-34.1,-6.82,8.131497402,0.2,0.56,8.665,0.064627813,-3.947341771,-0.0034171,9897.28,1,0.999999979,2.13424E-08
16,4.589549287,0.460643891,1.37291066,-0.4,0.671113907,-0.142857143,0,5,0.004941037,3048,38098.6,0,1,1,0,5329.564437,1065.912887,583.0815346,0.538672295,-42.6,-8.52,6.521736732,0,0,8.52,0,-3.644866919,-0.003906451,9893.89,1,0.99999997,2.9761E-08
17,5.294627922,0.510604414,1.521628686,-0.2,1.095167778,-0.142857143,0,5,0.00493689,776,12200.4,0,1,1,0,5851.883842,1170.376768,540.2396513,0.592195238,-29.8,-5.96,10.22492298,0.2,8.85,9.6625,0.915912031,-2.22243346,-0.002675658,9881.68,1,0.999999984,1.56578E-08
